date,fuel_type,variable_group,variable_name,unit,value,__rowNumber,value_original,unit_original,rate_currency,value_per_liter_equivalent,value_per_KL_equivalent,value_per_cylinder_equivalent,standardization_status,standardization_note
2026-04-03,Diesel,selling_price,retail_price_per_liter,NRs_per_liter,182,159,182,NRs_per_liter,NRs,182,182000,,converted_from_per_liter,
2026-04-03,Kerosene,selling_price,retail_price_per_liter,NRs_per_liter,182,160,182,NRs_per_liter,NRs,182,182000,,converted_from_per_liter,
2026-04-03,ATF_DP,selling_price,retail_price_per_liter,NRs_per_liter,251,161,251,NRs_per_liter,NRs,251,251000,,converted_from_per_liter,
2026-04-03,ATF_DF,selling_price,retail_price_per_liter,NRs_per_liter,270.41,162,1.785,USD_per_liter,NRs,270.41,270409.65,,converted_from_USD,USD_to_NRs_rate_151.49
2026-04-03,LP_Gas,selling_price,retail_price_per_cylinder,NRs_per_cylinder,1910,163,1910,NRs_per_cylinder,NRs,,,1910,kept_per_cylinder,
2026-04-03,Petrol,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,172264.15,164,172264.15,NRs_per_KL,NRs,172.26415,172264.15,,converted_from_per_KL,
2026-04-03,Diesel,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,155887.82,165,155887.82,NRs_per_KL,NRs,155.88782,155887.82,,converted_from_per_KL,
2026-04-03,Kerosene,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,156433.17,166,156433.17,NRs_per_KL,NRs,156.43317,156433.17,,converted_from_per_KL,
2026-04-03,ATF_DP,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,222123.89,167,222123.89,NRs_per_KL,NRs,222.12389,222123.89,,converted_from_per_KL,
2026-04-03,ATF_DF,selling_price,noc_ex_depot_price_without_vat,NRs_per_KL,270409.65,168,1785,USD_per_KL,NRs,270.41,270409.65,,converted_from_USD,USD_to_NRs_rate_151.49
2026-04-03,LP_Gas,selling_price,noc_ex_depot_price_without_vat,NRs_per_cylinder,1395.14,169,1395.14,NRs_per_cylinder,NRs,,,1395.14,kept_per_cylinder,
2026-04-03,Petrol,border_price,rsp_india_border_raxaul,IRs_per_liter,106.94,170,106.94,IRs_per_liter,IRs,106.94,106940,,converted_from_per_liter,
2026-04-03,Diesel,border_price,rsp_india_border_raxaul,IRs_per_liter,93.2,171,93.2,IRs_per_liter,IRs,93.2,93200,,converted_from_per_liter,
